Total of planted triclusters: 6
Number of planted numeric triclusters: 2
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 3
Tricluster coverage: 10.796666666666667%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (157, 4, 2), X=[23,24,28,30,36,40,45,87,90,91,113,116,122,123,125,127,141,146,152,153,183,186,187,202,205,211,216,234,241,248,271,273,285,298,318,331,337,347,363,389,440,441,456,459,466,467,473,480,499,506,508,514,517,530,533,543,549,554,567,574,602,611,615,624,636,645,649,676,685,696,699,700,703,729,753,780,781,800,802,811,817,818,850,853,887,895,896,897,907,909,918,923,950,951,960,961,969,980,982,988,990,994,1010,1037,1038,1044,1051,1054,1073,1080,1085,1092,1094,1096,1099,1100,1102,1116,1125,1127,1128,1130,1135,1137,1142,1156,1158,1160,1162,1197,1208,1224,1225,1245,1250,1252,1272,1285,1287,1290,1292,1293,1313,1321,1342,1361,1370,1378,1400,1407,1420,1422,1423,1425,1448,1465,1490], Y=[0,1,5,9], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=6.48,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1,1], ContextFactors=[0.24,1.37] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y1	y5	y9	
x508	1.56	1.56	1.56	1.56	
x514	1.56	1.56	1.56	1.56	
x517	1.56	1.56	1.56	1.56	
x530	1.56	1.56	1.56	1.56	
x533	1.56	1.56	1.56	1.56	
x543	1.56	1.56	1.56	1.56	
x549	1.56	1.56	1.56	1.56	
x554	1.56	1.56	1.56	1.56	
x567	1.56	1.56	1.56	1.56	
x574	1.56	1.56	1.56	1.56	
x602	1.56	1.56	1.56	1.56	
x611	1.56	1.56	1.56	1.56	
x615	1.56	1.56	1.56	1.56	
x624	1.56	1.56	1.56	1.56	
x636	1.56	1.56	1.56	1.56	
x645	1.56	1.56	1.56	1.56	
x649	1.56	1.56	1.56	1.56	
x676	1.56	1.56	1.56	1.56	
x685	1.56	1.56	1.56	1.56	
x696	1.56	1.56	1.56	1.56	
x699	1.56	1.56	1.56	1.56	
x700	1.56	1.56	1.56	1.56	
x703	1.56	1.56	1.56	1.56	
x729	1.56	1.56	1.56	1.56	
x753	1.56	1.56	1.56	1.56	
x780	1.56	1.56	1.56	1.56	
x781	1.56	1.56	1.56	1.56	
x800	1.56	1.56	1.56	1.56	
x802	1.56	1.56	1.56	1.56	
x811	1.56	1.56	1.56	1.56	
x817	1.56	1.56	1.56	1.56	
x818	1.56	1.56	1.56	1.56	
x850	1.56	1.56	1.56	1.56	
x853	1.56	1.56	1.56	1.56	
x887	1.56	1.56	1.56	1.56	
x895	1.56	1.56	1.56	1.56	
x896	1.56	1.56	1.56	1.56	
x897	1.56	1.56	1.56	1.56	
x907	1.56	1.56	1.56	1.56	
x909	1.56	1.56	1.56	1.56	
x918	1.56	1.56	1.56	1.56	
x923	1.56	1.56	1.56	1.56	
x950	1.56	1.56	1.56	1.56	
x951	1.56	1.56	1.56	1.56	
x960	1.56	1.56	1.56	1.56	
x961	1.56	1.56	1.56	1.56	
x969	1.56	1.56	1.56	1.56	
x980	1.56	1.56	1.56	1.56	
x982	1.56	1.56	1.56	1.56	
x988	1.56	1.56	1.56	1.56	
x990	1.56	1.56	1.56	1.56	
x994	1.56	1.56	1.56	1.56	
x1010	1.56	1.56	1.56	1.56	
x1037	1.56	1.56	1.56	1.56	
x1038	1.56	1.56	1.56	1.56	
x1044	1.56	1.56	1.56	1.56	
x1051	1.56	1.56	1.56	1.56	
x1054	1.56	1.56	1.56	1.56	
x1073	1.56	1.56	1.56	1.56	
x1080	1.56	1.56	1.56	1.56	
x1085	1.56	1.56	1.56	1.56	
x1092	1.56	1.56	1.56	1.56	
x1094	1.56	1.56	1.56	1.56	
x1096	1.56	1.56	1.56	1.56	
x1099	1.56	1.56	1.56	1.56	
x1100	1.56	1.56	1.56	1.56	
x1102	1.56	1.56	1.56	1.56	
x1116	1.56	1.56	1.56	1.56	
x1125	1.56	1.56	1.56	1.56	
x1127	1.56	1.56	1.56	1.56	
x1128	1.56	1.56	1.56	1.56	
x1130	1.56	1.56	1.56	1.56	
x1135	1.56	1.56	1.56	1.56	
x1137	1.56	1.56	1.56	1.56	
x1142	1.56	1.56	1.56	1.56	
x1156	1.56	1.56	1.56	1.56	
x1158	1.56	1.56	1.56	1.56	
x1160	1.56	1.56	1.56	1.56	
x1162	1.56	1.56	1.56	1.56	
x1197	1.56	1.56	1.56	1.56	
x1208	1.56	1.56	1.56	1.56	
x1224	1.56	1.56	1.56	1.56	
x1225	1.56	1.56	1.56	1.56	
x1245	1.56	1.56	1.56	1.56	
x1250	1.56	1.56	1.56	1.56	
x1252	1.56	1.56	1.56	1.56	
x1272	1.56	1.56	1.56	1.56	
x1285	1.56	1.56	1.56	1.56	
x1287	1.56	1.56	1.56	1.56	
x1290	1.56	1.56	1.56	1.56	
x1292	1.56	1.56	1.56	1.56	
x1293	1.56	1.56	1.56	1.56	
x1313	1.56	1.56	1.56	1.56	
x1321	1.56	1.56	1.56	1.56	
x1342	1.56	1.56	1.56	1.56	
x1361	1.56	1.56	1.56	1.56	
x1370	1.56	1.56	1.56	1.56	
x1378	1.56	1.56	1.56	1.56	
x1400	1.56	1.56	1.56	1.56	
x1407	1.56	1.56	1.56	1.56	
x1420	1.56	1.56	1.56	1.56	
x1422	1.56	1.56	1.56	1.56	
x1423	1.56	1.56	1.56	1.56	
x1425	1.56	1.56	1.56	1.56	
x1448	1.56	1.56	1.56	1.56	
x1465	1.56	1.56	1.56	1.56	
x1490	1.56	1.56	1.56	1.56	

Context: 1
X	y0	y1	y5	y9	
x23	8.9	8.9	8.9	8.9	
x24	8.9	8.9	8.9	8.9	
x28	8.9	8.9	8.9	8.9	
x30	8.9	8.9	8.9	8.9	
x36	8.9	8.9	8.9	8.9	
x40	8.9	8.9	8.9	8.9	
x45	8.9	8.9	8.9	8.9	
x87	8.9	8.9	8.9	8.9	
x90	8.9	8.9	8.9	8.9	
x91	8.9	8.9	8.9	8.9	
x113	8.9	8.9	8.9	8.9	
x116	8.9	8.9	8.9	8.9	
x122	8.9	8.9	8.9	8.9	
x123	8.9	8.9	8.9	8.9	
x125	8.9	8.9	8.9	8.9	
x127	8.9	8.9	8.9	8.9	
x141	8.9	8.9	8.9	8.9	
x146	8.9	8.9	8.9	8.9	
x152	8.9	8.9	8.9	8.9	
x153	8.9	8.9	8.9	8.9	
x183	8.9	8.9	8.9	8.9	
x186	8.9	8.9	8.9	8.9	
x187	8.9	8.9	8.9	8.9	
x202	8.9	8.9	8.9	8.9	
x205	8.9	8.9	8.9	8.9	
x211	8.9	8.9	8.9	8.9	
x216	8.9	8.9	8.9	8.9	
x234	8.9	8.9	8.9	8.9	
x241	8.9	8.9	8.9	8.9	
x248	8.9	8.9	8.9	8.9	
x271	8.9	8.9	8.9	8.9	
x273	8.9	8.9	8.9	8.9	
x285	8.9	8.9	8.9	8.9	
x298	8.9	8.9	8.9	8.9	
x318	8.9	8.9	8.9	8.9	
x331	8.9	8.9	8.9	8.9	
x337	8.9	8.9	8.9	8.9	
x347	8.9	8.9	8.9	8.9	
x363	8.9	8.9	8.9	8.9	
x389	8.9	8.9	8.9	8.9	
x440	8.9	8.9	8.9	8.9	
x441	8.9	8.9	8.9	8.9	
x456	8.9	8.9	8.9	8.9	
x459	8.9	8.9	8.9	8.9	
x466	8.9	8.9	8.9	8.9	
x467	8.9	8.9	8.9	8.9	
x473	8.9	8.9	8.9	8.9	
x480	8.9	8.9	8.9	8.9	
x499	8.9	8.9	8.9	8.9	
x506	8.9	8.9	8.9	8.9	
x508	8.9	8.9	8.9	8.9	
x514	8.9	8.9	8.9	8.9	
x517	8.9	8.9	8.9	8.9	
x530	8.9	8.9	8.9	8.9	
x533	8.9	8.9	8.9	8.9	
x543	8.9	8.9	8.9	8.9	
x549	8.9	8.9	8.9	8.9	
x554	8.9	8.9	8.9	8.9	
x567	8.9	8.9	8.9	8.9	
x574	8.9	8.9	8.9	8.9	
x602	8.9	8.9	8.9	8.9	
x611	8.9	8.9	8.9	8.9	
x615	8.9	8.9	8.9	8.9	
x624	8.9	8.9	8.9	8.9	
x636	8.9	8.9	8.9	8.9	
x645	8.9	8.9	8.9	8.9	
x649	8.9	8.9	8.9	8.9	
x676	8.9	8.9	8.9	8.9	
x685	8.9	8.9	8.9	8.9	
x696	8.9	8.9	8.9	8.9	
x699	8.9	8.9	8.9	8.9	
x700	8.9	8.9	8.9	8.9	
x703	8.9	8.9	8.9	8.9	
x729	8.9	8.9	8.9	8.9	
x753	8.9	8.9	8.9	8.9	
x780	8.9	8.9	8.9	8.9	
x781	8.9	8.9	8.9	8.9	
x800	8.9	8.9	8.9	8.9	
x802	8.9	8.9	8.9	8.9	
x811	8.9	8.9	8.9	8.9	
x817	8.9	8.9	8.9	8.9	
x818	8.9	8.9	8.9	8.9	
x850	8.9	8.9	8.9	8.9	
x853	8.9	8.9	8.9	8.9	
x887	8.9	8.9	8.9	8.9	
x895	8.9	8.9	8.9	8.9	
x896	8.9	8.9	8.9	8.9	
x897	8.9	8.9	8.9	8.9	
x907	8.9	8.9	8.9	8.9	
x909	8.9	8.9	8.9	8.9	
x918	8.9	8.9	8.9	8.9	
x923	8.9	8.9	8.9	8.9	
x950	8.9	8.9	8.9	8.9	
x951	8.9	8.9	8.9	8.9	
x960	8.9	8.9	8.9	8.9	
x961	8.9	8.9	8.9	8.9	
x969	8.9	8.9	8.9	8.9	
x980	8.9	8.9	8.9	8.9	
x982	8.9	8.9	8.9	8.9	
x988	8.9	8.9	8.9	8.9	
x990	8.9	8.9	8.9	8.9	
x994	8.9	8.9	8.9	8.9	
x1010	8.9	8.9	8.9	8.9	
x1037	8.9	8.9	8.9	8.9	
x1038	8.9	8.9	8.9	8.9	
x1044	8.9	8.9	8.9	8.9	
x1051	8.9	8.9	8.9	8.9	
x1054	8.9	8.9	8.9	8.9	
x1073	8.9	8.9	8.9	8.9	
x1080	8.9	8.9	8.9	8.9	
x1085	8.9	8.9	8.9	8.9	
x1092	8.9	8.9	8.9	8.9	
x1094	8.9	8.9	8.9	8.9	
x1096	8.9	8.9	8.9	8.9	
x1099	8.9	8.9	8.9	8.9	
x1100	8.9	8.9	8.9	8.9	
x1102	8.9	8.9	8.9	8.9	
x1116	8.9	8.9	8.9	8.9	
x1125	8.9	8.9	8.9	8.9	
x1127	8.9	8.9	8.9	8.9	
x1128	8.9	8.9	8.9	8.9	
x1130	8.9	8.9	8.9	8.9	
x1135	8.9	8.9	8.9	8.9	
x1137	8.9	8.9	8.9	8.9	
x1142	8.9	8.9	8.9	8.9	
x1156	8.9	8.9	8.9	8.9	
x1158	8.9	8.9	8.9	8.9	
x1160	8.9	8.9	8.9	8.9	
x1162	8.9	8.9	8.9	8.9	
x1197	8.9	8.9	8.9	8.9	
x1208	8.9	8.9	8.9	8.9	
x1224	8.9	8.9	8.9	8.9	
x1225	8.9	8.9	8.9	8.9	
x1245	8.9	8.9	8.9	8.9	
x1250	8.9	8.9	8.9	8.9	
x1252	8.9	8.9	8.9	8.9	
x1272	8.9	8.9	8.9	8.9	
x1285	8.9	8.9	8.9	8.9	
x1287	8.9	8.9	8.9	8.9	
x1290	8.9	8.9	8.9	8.9	
x1292	8.9	8.9	8.9	8.9	
x1293	8.9	8.9	8.9	8.9	
x1313	8.9	8.9	8.9	8.9	
x1321	8.9	8.9	8.9	8.9	
x1342	8.9	8.9	8.9	8.9	
x1361	8.9	8.9	8.9	8.9	
x1370	8.9	8.9	8.9	8.9	
x1378	8.9	8.9	8.9	8.9	
x1400	8.9	8.9	8.9	8.9	
x1407	8.9	8.9	8.9	8.9	
x1420	8.9	8.9	8.9	8.9	
x1422	8.9	8.9	8.9	8.9	
x1423	8.9	8.9	8.9	8.9	
x1425	8.9	8.9	8.9	8.9	
x1448	8.9	8.9	8.9	8.9	
x1465	8.9	8.9	8.9	8.9	
x1490	8.9	8.9	8.9	8.9	

Tricluster #2
 (267, 4, 2), X=[5,12,16,18,19,25,39,44,46,47,59,60,71,72,82,84,92,111,118,125,126,136,139,159,164,165,177,178,180,181,191,197,203,209,212,215,222,226,238,243,245,248,250,253,257,259,266,269,271,272,275,276,288,295,303,304,306,311,315,319,327,329,333,337,340,347,353,366,369,371,380,381,382,387,388,389,393,396,409,414,416,418,419,422,424,429,432,455,460,473,477,478,488,490,496,502,507,513,515,516,517,519,523,529,536,537,541,542,553,554,555,567,568,572,584,600,611,615,617,619,635,637,645,652,656,669,674,681,682,688,690,706,709,715,723,724,725,726,727,736,743,744,745,756,757,768,771,777,785,797,798,800,811,823,829,832,843,846,851,852,856,861,872,877,878,885,887,892,901,904,905,913,914,915,919,922,937,946,953,960,961,964,969,974,981,983,988,1007,1009,1031,1039,1045,1046,1062,1066,1070,1084,1094,1095,1100,1133,1158,1162,1166,1167,1168,1187,1194,1198,1201,1202,1204,1206,1208,1217,1219,1225,1232,1235,1236,1240,1256,1261,1266,1268,1289,1297,1301,1302,1304,1315,1325,1334,1337,1339,1341,1346,1347,1351,1357,1358,1363,1369,1371,1373,1374,1375,1388,1401,1406,1416,1427,1430,1435,1441,1461,1469,1470,1472,1478,1487,1488,1490,1493,1494,1497,1498], Y=[3,6,7,8], Z=[1,2], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=8.57,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1,1], ContextFactors=[0.02,0.06] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y3	y6	y7	y8	
x5	0.2	0.2	0.2	0.2	
x12	0.2	0.2	0.2	0.2	
x16	0.2	0.2	0.2	0.2	
x18	0.2	0.2	0.2	0.2	
x19	0.2	0.2	0.2	0.2	
x25	0.2	0.2	0.2	0.2	
x39	0.2	0.2	0.2	0.2	
x44	0.2	0.2	0.2	0.2	
x46	0.2	0.2	0.2	0.2	
x47	0.2	0.2	0.2	0.2	
x59	0.2	0.2	0.2	0.2	
x60	0.2	0.2	0.2	0.2	
x71	0.2	0.2	0.2	0.2	
x72	0.2	0.2	0.2	0.2	
x82	0.2	0.2	0.2	0.2	
x84	0.2	0.2	0.2	0.2	
x92	0.2	0.2	0.2	0.2	
x111	0.2	0.2	0.2	0.2	
x118	0.2	0.2	0.2	0.2	
x125	0.2	0.2	0.2	0.2	
x126	0.2	0.2	0.2	0.2	
x136	0.2	0.2	0.2	0.2	
x139	0.2	0.2	0.2	0.2	
x159	0.2	0.2	0.2	0.2	
x164	0.2	0.2	0.2	0.2	
x165	0.2	0.2	0.2	0.2	
x177	0.2	0.2	0.2	0.2	
x178	0.2	0.2	0.2	0.2	
x180	0.2	0.2	0.2	0.2	
x181	0.2	0.2	0.2	0.2	
x191	0.2	0.2	0.2	0.2	
x197	0.2	0.2	0.2	0.2	
x203	0.2	0.2	0.2	0.2	
x209	0.2	0.2	0.2	0.2	
x212	0.2	0.2	0.2	0.2	
x215	0.2	0.2	0.2	0.2	
x222	0.2	0.2	0.2	0.2	
x226	0.2	0.2	0.2	0.2	
x238	0.2	0.2	0.2	0.2	
x243	0.2	0.2	0.2	0.2	
x245	0.2	0.2	0.2	0.2	
x248	0.2	0.2	0.2	0.2	
x250	0.2	0.2	0.2	0.2	
x253	0.2	0.2	0.2	0.2	
x257	0.2	0.2	0.2	0.2	
x259	0.2	0.2	0.2	0.2	
x266	0.2	0.2	0.2	0.2	
x269	0.2	0.2	0.2	0.2	
x271	0.2	0.2	0.2	0.2	
x272	0.2	0.2	0.2	0.2	
x275	0.2	0.2	0.2	0.2	
x276	0.2	0.2	0.2	0.2	
x288	0.2	0.2	0.2	0.2	
x295	0.2	0.2	0.2	0.2	
x303	0.2	0.2	0.2	0.2	
x304	0.2	0.2	0.2	0.2	
x306	0.2	0.2	0.2	0.2	
x311	0.2	0.2	0.2	0.2	
x315	0.2	0.2	0.2	0.2	
x319	0.2	0.2	0.2	0.2	
x327	0.2	0.2	0.2	0.2	
x329	0.2	0.2	0.2	0.2	
x333	0.2	0.2	0.2	0.2	
x337	0.2	0.2	0.2	0.2	
x340	0.2	0.2	0.2	0.2	
x347	0.2	0.2	0.2	0.2	
x353	0.2	0.2	0.2	0.2	
x366	0.2	0.2	0.2	0.2	
x369	0.2	0.2	0.2	0.2	
x371	0.2	0.2	0.2	0.2	
x380	0.2	0.2	0.2	0.2	
x381	0.2	0.2	0.2	0.2	
x382	0.2	0.2	0.2	0.2	
x387	0.2	0.2	0.2	0.2	
x388	0.2	0.2	0.2	0.2	
x389	0.2	0.2	0.2	0.2	
x393	0.2	0.2	0.2	0.2	
x396	0.2	0.2	0.2	0.2	
x409	0.2	0.2	0.2	0.2	
x414	0.2	0.2	0.2	0.2	
x416	0.2	0.2	0.2	0.2	
x418	0.2	0.2	0.2	0.2	
x419	0.2	0.2	0.2	0.2	
x422	0.2	0.2	0.2	0.2	
x424	0.2	0.2	0.2	0.2	
x429	0.2	0.2	0.2	0.2	
x432	0.2	0.2	0.2	0.2	
x455	0.2	0.2	0.2	0.2	
x460	0.2	0.2	0.2	0.2	
x473	0.2	0.2	0.2	0.2	
x477	0.2	0.2	0.2	0.2	
x478	0.2	0.2	0.2	0.2	
x488	0.2	0.2	0.2	0.2	
x490	0.2	0.2	0.2	0.2	
x496	0.2	0.2	0.2	0.2	
x502	0.2	0.2	0.2	0.2	
x507	0.2	0.2	0.2	0.2	
x513	0.2	0.2	0.2	0.2	
x515	0.2	0.2	0.2	0.2	
x516	0.2	0.2	0.2	0.2	
x517	0.2	0.2	0.2	0.2	
x519	0.2	0.2	0.2	0.2	
x523	0.2	0.2	0.2	0.2	
x529	0.2	0.2	0.2	0.2	
x536	0.2	0.2	0.2	0.2	
x537	0.2	0.2	0.2	0.2	
x541	0.2	0.2	0.2	0.2	
x542	0.2	0.2	0.2	0.2	
x553	0.2	0.2	0.2	0.2	
x554	0.2	0.2	0.2	0.2	
x555	0.2	0.2	0.2	0.2	
x567	0.2	0.2	0.2	0.2	
x568	0.2	0.2	0.2	0.2	
x572	0.2	0.2	0.2	0.2	
x584	0.2	0.2	0.2	0.2	
x600	0.2	0.2	0.2	0.2	
x611	0.2	0.2	0.2	0.2	
x615	0.2	0.2	0.2	0.2	
x617	0.2	0.2	0.2	0.2	
x619	0.2	0.2	0.2	0.2	
x635	0.2	0.2	0.2	0.2	
x637	0.2	0.2	0.2	0.2	
x645	0.2	0.2	0.2	0.2	
x652	0.2	0.2	0.2	0.2	
x656	0.2	0.2	0.2	0.2	
x669	0.2	0.2	0.2	0.2	
x674	0.2	0.2	0.2	0.2	
x681	0.2	0.2	0.2	0.2	
x682	0.2	0.2	0.2	0.2	
x688	0.2	0.2	0.2	0.2	
x690	0.2	0.2	0.2	0.2	
x706	0.2	0.2	0.2	0.2	
x709	0.2	0.2	0.2	0.2	
x715	0.2	0.2	0.2	0.2	
x723	0.2	0.2	0.2	0.2	
x724	0.2	0.2	0.2	0.2	
x725	0.2	0.2	0.2	0.2	
x726	0.2	0.2	0.2	0.2	
x727	0.2	0.2	0.2	0.2	
x736	0.2	0.2	0.2	0.2	
x743	0.2	0.2	0.2	0.2	
x744	0.2	0.2	0.2	0.2	
x745	0.2	0.2	0.2	0.2	
x756	0.2	0.2	0.2	0.2	
x757	0.2	0.2	0.2	0.2	
x768	0.2	0.2	0.2	0.2	
x771	0.2	0.2	0.2	0.2	
x777	0.2	0.2	0.2	0.2	
x785	0.2	0.2	0.2	0.2	
x797	0.2	0.2	0.2	0.2	
x798	0.2	0.2	0.2	0.2	
x800	0.2	0.2	0.2	0.2	
x811	0.2	0.2	0.2	0.2	
x823	0.2	0.2	0.2	0.2	
x829	0.2	0.2	0.2	0.2	
x832	0.2	0.2	0.2	0.2	
x843	0.2	0.2	0.2	0.2	
x846	0.2	0.2	0.2	0.2	
x851	0.2	0.2	0.2	0.2	
x852	0.2	0.2	0.2	0.2	
x856	0.2	0.2	0.2	0.2	
x861	0.2	0.2	0.2	0.2	
x872	0.2	0.2	0.2	0.2	
x877	0.2	0.2	0.2	0.2	
x878	0.2	0.2	0.2	0.2	
x885	0.2	0.2	0.2	0.2	
x887	0.2	0.2	0.2	0.2	
x892	0.2	0.2	0.2	0.2	
x901	0.2	0.2	0.2	0.2	
x904	0.2	0.2	0.2	0.2	
x905	0.2	0.2	0.2	0.2	
x913	0.2	0.2	0.2	0.2	
x914	0.2	0.2	0.2	0.2	
x915	0.2	0.2	0.2	0.2	
x919	0.2	0.2	0.2	0.2	
x922	0.2	0.2	0.2	0.2	
x937	0.2	0.2	0.2	0.2	
x946	0.2	0.2	0.2	0.2	
x953	0.2	0.2	0.2	0.2	
x960	0.2	0.2	0.2	0.2	
x961	0.2	0.2	0.2	0.2	
x964	0.2	0.2	0.2	0.2	
x969	0.2	0.2	0.2	0.2	
x974	0.2	0.2	0.2	0.2	
x981	0.2	0.2	0.2	0.2	
x983	0.2	0.2	0.2	0.2	
x988	0.2	0.2	0.2	0.2	
x1007	0.2	0.2	0.2	0.2	
x1009	0.2	0.2	0.2	0.2	
x1031	0.2	0.2	0.2	0.2	
x1039	0.2	0.2	0.2	0.2	
x1045	0.2	0.2	0.2	0.2	
x1046	0.2	0.2	0.2	0.2	
x1062	0.2	0.2	0.2	0.2	
x1066	0.2	0.2	0.2	0.2	
x1070	0.2	0.2	0.2	0.2	
x1084	0.2	0.2	0.2	0.2	
x1094	0.2	0.2	0.2	0.2	
x1095	0.2	0.2	0.2	0.2	
x1100	0.2	0.2	0.2	0.2	
x1133	0.2	0.2	0.2	0.2	
x1158	0.2	0.2	0.2	0.2	
x1162	0.2	0.2	0.2	0.2	
x1166	0.2	0.2	0.2	0.2	
x1167	0.2	0.2	0.2	0.2	
x1168	0.2	0.2	0.2	0.2	
x1187	0.2	0.2	0.2	0.2	
x1194	0.2	0.2	0.2	0.2	
x1198	0.2	0.2	0.2	0.2	
x1201	0.2	0.2	0.2	0.2	
