x223	9.71	9.71	9.71	
x228	9.71	9.71	9.71	
x230	9.71	9.71	9.71	
x231	9.71	9.71	9.71	
x232	9.71	9.71	9.71	
x233	9.71	9.71	9.71	
x235	9.71	9.71	9.71	
x238	9.71	9.71	9.71	
x239	9.71	9.71	9.71	
x252	9.71	9.71	9.71	
x255	9.71	9.71	9.71	
x263	9.71	9.71	9.71	
x267	9.71	9.71	9.71	
x274	9.71	9.71	9.71	
x276	9.71	9.71	9.71	
x277	9.71	9.71	9.71	
x295	9.71	9.71	9.71	
x300	9.71	9.71	9.71	
x304	9.71	9.71	9.71	
x305	9.71	9.71	9.71	
x312	9.71	9.71	9.71	
x323	9.71	9.71	9.71	
x327	9.71	9.71	9.71	
x348	9.71	9.71	9.71	
x350	9.71	9.71	9.71	
x357	9.71	9.71	9.71	
x363	9.71	9.71	9.71	
x366	9.71	9.71	9.71	
x378	9.71	9.71	9.71	
x385	9.71	9.71	9.71	
x392	9.71	9.71	9.71	
x395	9.71	9.71	9.71	
x401	9.71	9.71	9.71	
x417	9.71	9.71	9.71	
x435	9.71	9.71	9.71	
x443	9.71	9.71	9.71	
x444	9.71	9.71	9.71	
x457	9.71	9.71	9.71	
x461	9.71	9.71	9.71	
x468	9.71	9.71	9.71	
x472	9.71	9.71	9.71	
x473	9.71	9.71	9.71	
x485	9.71	9.71	9.71	
x499	9.71	9.71	9.71	

Context: 2
X	y1	y2	y3	
x1	0.79	0.79	0.79	
x15	0.79	0.79	0.79	
x25	0.79	0.79	0.79	
x27	0.79	0.79	0.79	
x28	0.79	0.79	0.79	
x29	0.79	0.79	0.79	
x36	0.79	0.79	0.79	
x40	0.79	0.79	0.79	
x52	0.79	0.79	0.79	
x54	0.79	0.79	0.79	
x62	0.79	0.79	0.79	
x63	0.79	0.79	0.79	
x79	0.79	0.79	0.79	
x84	0.79	0.79	0.79	
x89	0.79	0.79	0.79	
x100	0.79	0.79	0.79	
x118	0.79	0.79	0.79	
x123	0.79	0.79	0.79	
x124	0.79	0.79	0.79	
x129	0.79	0.79	0.79	
x135	0.79	0.79	0.79	
x144	0.79	0.79	0.79	
x150	0.79	0.79	0.79	
x168	0.79	0.79	0.79	
x174	0.79	0.79	0.79	
x179	0.79	0.79	0.79	
x181	0.79	0.79	0.79	
x184	0.79	0.79	0.79	
x198	0.79	0.79	0.79	
x202	0.79	0.79	0.79	
x206	0.79	0.79	0.79	
x209	0.79	0.79	0.79	
x217	0.79	0.79	0.79	
x219	0.79	0.79	0.79	
x220	0.79	0.79	0.79	
x223	0.79	0.79	0.79	
x228	0.79	0.79	0.79	
x230	0.79	0.79	0.79	
x231	0.79	0.79	0.79	
x232	0.79	0.79	0.79	
x233	0.79	0.79	0.79	
x235	0.79	0.79	0.79	
x238	0.79	0.79	0.79	
x239	0.79	0.79	0.79	
x252	0.79	0.79	0.79	
x255	0.79	0.79	0.79	
x263	0.79	0.79	0.79	
x267	0.79	0.79	0.79	
x274	0.79	0.79	0.79	
x276	0.79	0.79	0.79	
x277	0.79	0.79	0.79	
x295	0.79	0.79	0.79	
x300	0.79	0.79	0.79	
x304	0.79	0.79	0.79	
x305	0.79	0.79	0.79	
x312	0.79	0.79	0.79	
x323	0.79	0.79	0.79	
x327	0.79	0.79	0.79	
x348	0.79	0.79	0.79	
x350	0.79	0.79	0.79	
x357	0.79	0.79	0.79	
x363	0.79	0.79	0.79	
x366	0.79	0.79	0.79	
x378	0.79	0.79	0.79	
x385	0.79	0.79	0.79	
x392	0.79	0.79	0.79	
x395	0.79	0.79	0.79	
x401	0.79	0.79	0.79	
x417	0.79	0.79	0.79	
x435	0.79	0.79	0.79	
x443	0.79	0.79	0.79	
x444	0.79	0.79	0.79	
x457	0.79	0.79	0.79	
x461	0.79	0.79	0.79	
x468	0.79	0.79	0.79	
x472	0.79	0.79	0.79	
x473	0.79	0.79	0.79	
x485	0.79	0.79	0.79	
x499	0.79	0.79	0.79	

Context: 3
X	y1	y2	y3	
x1	8.14	8.14	8.14	
x15	8.14	8.14	8.14	
x25	8.14	8.14	8.14	
x27	8.14	8.14	8.14	
x28	8.14	8.14	8.14	
x29	8.14	8.14	8.14	
x36	8.14	8.14	8.14	
x40	8.14	8.14	8.14	
x52	8.14	8.14	8.14	
x54	8.14	8.14	8.14	
x62	8.14	8.14	8.14	
x63	8.14	8.14	8.14	
x79	8.14	8.14	8.14	
x84	8.14	8.14	8.14	
x89	8.14	8.14	8.14	
x100	8.14	8.14	8.14	
x118	8.14	8.14	8.14	
x123	8.14	8.14	8.14	
x124	8.14	8.14	8.14	
x129	8.14	8.14	8.14	
x135	8.14	8.14	8.14	
x144	8.14	8.14	8.14	
x150	8.14	8.14	8.14	
x168	8.14	8.14	8.14	
x174	8.14	8.14	8.14	
x179	8.14	8.14	8.14	
x181	8.14	8.14	8.14	
x184	8.14	8.14	8.14	
x198	8.14	8.14	8.14	
x202	8.14	8.14	8.14	
x206	8.14	8.14	8.14	
x209	8.14	8.14	8.14	
x217	8.14	8.14	8.14	
x219	8.14	8.14	8.14	
x220	8.14	8.14	8.14	
x223	8.14	8.14	8.14	
x228	8.14	8.14	8.14	
x230	8.14	8.14	8.14	
x231	8.14	8.14	8.14	
x232	8.14	8.14	8.14	
x233	8.14	8.14	8.14	
x235	8.14	8.14	8.14	
x238	8.14	8.14	8.14	
x239	8.14	8.14	8.14	
x252	8.14	8.14	8.14	
x255	8.14	8.14	8.14	
x263	8.14	8.14	8.14	
x267	8.14	8.14	8.14	
x274	8.14	8.14	8.14	
x276	8.14	8.14	8.14	
x277	8.14	8.14	8.14	
x295	8.14	8.14	8.14	
x300	8.14	8.14	8.14	
x304	8.14	8.14	8.14	
x305	8.14	8.14	8.14	
x312	8.14	8.14	8.14	
x323	8.14	8.14	8.14	
x327	8.14	8.14	8.14	
x348	8.14	8.14	8.14	
x350	8.14	8.14	8.14	
x357	8.14	8.14	8.14	
x363	8.14	8.14	8.14	
x366	8.14	8.14	8.14	
x378	8.14	8.14	8.14	
x385	8.14	8.14	8.14	
x392	8.14	8.14	8.14	
x395	8.14	8.14	8.14	
x401	8.14	8.14	8.14	
x417	8.14	8.14	8.14	
x435	8.14	8.14	8.14	
x443	8.14	8.14	8.14	
x444	8.14	8.14	8.14	
x457	8.14	8.14	8.14	
x461	8.14	8.14	8.14	
x468	8.14	8.14	8.14	
x472	8.14	8.14	8.14	
x473	8.14	8.14	8.14	
x485	8.14	8.14	8.14	
x499	8.14	8.14	8.14	


*** Symbolic triclusters *** 

Tricluster #0
(67, 2, 2), X=[1,15,16,27,30,34,44,50,52,60,73,76,98,123,138,147,182,184,194,200,201,202,214,242,243,262,269,279,287,288,292,293,294,296,297,300,304,309,313,327,333,339,343,373,374,378,384,387,388,389,406,407,413,415,418,426,428,429,434,439,440,447,449,466,482,488,494], Y=[5,7], Z=[1,2], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 1
X	y5	y7	
x1	a	c	
x15	a	c	
x16	a	c	
x27	a	c	
x30	a	c	
x34	a	c	
x44	a	c	
x50	a	c	
x52	a	c	
x60	a	c	
x73	a	c	
x76	a	c	
x98	a	c	
x123	a	c	
x138	a	c	
x147	a	c	
x182	a	c	
x184	a	c	
x194	a	c	
x200	a	c	
x201	a	c	
x202	a	c	
x214	a	c	
x242	a	c	
x243	a	c	
x262	a	c	
x269	a	c	
x279	a	c	
x287	a	c	
x288	a	c	
x292	a	c	
x293	a	c	
x294	a	c	
x296	a	c	
x297	a	c	
x300	a	c	
x304	a	c	
x309	a	c	
x313	a	c	
x327	a	c	
x333	a	c	
x339	a	c	
x343	a	c	
x373	a	c	
x374	a	c	
x378	a	c	
x384	a	c	
x387	a	c	
x388	a	c	
x389	a	c	
x406	a	c	
x407	a	c	
x413	a	c	
x415	a	c	
x418	a	c	
x426	a	c	
x428	a	c	
x429	a	c	
x434	a	c	
x439	a	c	
x440	a	c	
x447	a	c	
x449	a	c	
x466	a	c	
x482	a	c	
x488	a	c	
x494	a	c	

Context: 2
X	y5	y7	
x1	a	c	
x15	a	c	
x16	a	c	
x27	a	c	
x30	a	c	
x34	a	c	
x44	a	c	
x50	a	c	
x52	a	c	
x60	a	c	
x73	a	c	
x76	a	c	
x98	a	c	
x123	a	c	
x138	a	c	
x147	a	c	
x182	a	c	
x184	a	c	
x194	a	c	
x200	a	c	
x201	a	c	
x202	a	c	
x214	a	c	
x242	a	c	
x243	a	c	
x262	a	c	
x269	a	c	
x279	a	c	
x287	a	c	
x288	a	c	
x292	a	c	
x293	a	c	
x294	a	c	
x296	a	c	
x297	a	c	
x300	a	c	
x304	a	c	
x309	a	c	
x313	a	c	
x327	a	c	
x333	a	c	
x339	a	c	
x343	a	c	
x373	a	c	
x374	a	c	
x378	a	c	
x384	a	c	
x387	a	c	
x388	a	c	
x389	a	c	
x406	a	c	
x407	a	c	
x413	a	c	
x415	a	c	
x418	a	c	
x426	a	c	
x428	a	c	
x429	a	c	
x434	a	c	
x439	a	c	
x440	a	c	
x447	a	c	
x449	a	c	
x466	a	c	
x482	a	c	
x488	a	c	
x494	a	c	

Tricluster #1
(78, 2, 3), X=[0,9,13,17,28,32,35,36,43,55,68,69,82,86,90,95,106,112,114,115,119,125,129,136,137,143,144,148,157,158,164,169,185,187,190,198,204,209,210,211,215,241,254,258,260,266,267,268,274,277,280,298,314,325,329,336,344,349,352,359,362,368,370,390,397,401,402,404,410,411,416,419,470,479,486,487,489,493], Y=[5,8], Z=[2,3,4], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 2
X	y5	y8	
x0	c	a	
x9	c	a	
x13	c	a	
x17	c	a	
x28	c	a	
x32	c	a	
x35	c	a	
x36	c	a	
x43	c	a	
x55	c	a	
x68	c	a	
x69	c	a	
x82	c	a	
x86	c	a	
x90	c	a	
x95	c	a	
x106	c	a	
x112	c	a	
x114	c	a	
x115	c	a	
x119	c	a	
x125	c	a	
x129	c	a	
x136	c	a	
x137	c	a	
x143	c	a	
x144	c	a	
x148	c	a	
x157	c	a	
x158	c	a	
x164	c	a	
x169	c	a	
x185	c	a	
x187	c	a	
x190	c	a	
x198	c	a	
x204	c	a	
x209	c	a	
x210	c	a	
x211	c	a	
x215	c	a	
x241	c	a	
x254	c	a	
x258	c	a	
x260	c	a	
x266	c	a	
x267	c	a	
x268	c	a	
x274	c	a	
x277	c	a	
x280	c	a	
x298	c	a	
x314	c	a	
x325	c	a	
x329	c	a	
x336	c	a	
x344	c	a	
x349	c	a	
x352	c	a	
x359	c	a	
x362	c	a	
x368	c	a	
x370	c	a	
x390	c	a	
x397	c	a	
x401	c	a	
x402	c	a	
x404	c	a	
x410	c	a	
x411	c	a	
x416	c	a	
x419	c	a	
x470	c	a	
x479	c	a	
x486	c	a	
x487	c	a	
x489	c	a	
x493	c	a	

Context: 3
X	y5	y8	
x0	c	a	
x9	c	a	
x13	c	a	
x17	c	a	
x28	c	a	
x32	c	a	
x35	c	a	
x36	c	a	
x43	c	a	
x55	c	a	
x68	c	a	
x69	c	a	
x82	c	a	
x86	c	a	
x90	c	a	
x95	c	a	
x106	c	a	
x112	c	a	
x114	c	a	
x115	c	a	
x119	c	a	
x125	c	a	
x129	c	a	
x136	c	a	
x137	c	a	
x143	c	a	
x144	c	a	
x148	c	a	
x157	c	a	
x158	c	a	
x164	c	a	
x169	c	a	
x185	c	a	
x187	c	a	
x190	c	a	
x198	c	a	
x204	c	a	
x209	c	a	
x210	c	a	
x211	c	a	
x215	c	a	
x241	c	a	
x254	c	a	
x258	c	a	
x260	c	a	
x266	c	a	
x267	c	a	
x268	c	a	
x274	c	a	
x277	c	a	
x280	c	a	
x298	c	a	
x314	c	a	
x325	c	a	
x329	c	a	
x336	c	a	
x344	c	a	
x349	c	a	
x352	c	a	
x359	c	a	
x362	c	a	
x368	c	a	
x370	c	a	
x390	c	a	
x397	c	a	
x401	c	a	
x402	c	a	
x404	c	a	
x410	c	a	
x411	c	a	
x416	c	a	
x419	c	a	
x470	c	a	
x479	c	a	
x486	c	a	
x487	c	a	
x489	c	a	
x493	c	a	

Context: 4
X	y5	y8	
x0	c	a	
x9	c	a	
x13	c	a	
x17	c	a	
x28	c	a	
x32	c	a	
x35	c	a	
x36	c	a	
x43	c	a	
x55	c	a	
x68	c	a	
x69	c	a	
x82	c	a	
x86	c	a	
x90	c	a	
x95	c	a	
x106	c	a	
x112	c	a	
x114	c	a	
x115	c	a	
x119	c	a	
x125	c	a	
x129	c	a	
x136	c	a	
x137	c	a	
x143	c	a	
x144	c	a	
x148	c	a	
x157	c	a	
x158	c	a	
x164	c	a	
x169	c	a	
x185	c	a	
x187	c	a	
x190	c	a	
x198	c	a	
x204	c	a	
x209	c	a	
x210	c	a	
x211	c	a	
x215	c	a	
x241	c	a	
x254	c	a	
x258	c	a	
x260	c	a	
x266	c	a	
x267	c	a	
x268	c	a	
x274	c	a	
x277	c	a	
x280	c	a	
x298	c	a	
x314	c	a	
x325	c	a	
x329	c	a	
x336	c	a	
x344	c	a	
x349	c	a	
x352	c	a	
x359	c	a	
x362	c	a	
x368	c	a	
x370	c	a	
x390	c	a	
x397	c	a	
x401	c	a	
x402	c	a	
x404	c	a	
x410	c	a	
x411	c	a	
x416	c	a	
x419	c	a	
x470	c	a	
x479	c	a	
x486	c	a	
x487	c	a	
x489	c	a	
x493	c	a	


*** Mixed triclusters *** 

Tricluster #3
(65, 5, 4), X=[6,7,8,20,38,42,48,61,63,66,70,79,83,91,99,100,110,116,120,121,127,132,134,135,139,142,152,154,163,172,174,177,189,197,203,205,208,216,225,231,232,240,248,249,257,265,332,347,348,354,356,357,363,376,392,394,399,400,422,436,437,465,473,481,496], Numeric Columns=[0,4], Symbolic Columns=[5,8,9], Z=[0,1,2,3],
Numeric Properties:  RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, PlaidCoherency=No Overlapping
Symbolic Properties:  RowPattern=Constant, ColumnPattern=None
 ContextPattern=Constant,%Missings=0, %Noise=0, %Errors=0,

Context: 0
X	y0	y4	y5	y8	y9	
x6	7.16	7.48	a	b	b	
x7	7.16	7.48	a	b	b	
x8	7.16	7.48	a	b	b	
x20	7.16	7.48	a	b	b	
x38	7.16	7.48	a	b	b	
x42	7.16	7.48	a	b	b	
x48	7.16	7.48	a	b	b	
x61	7.16	7.48	a	b	b	
x63	7.16	7.48	a	b	b	
x66	7.16	7.48	a	b	b	
x70	7.16	7.48	a	b	b	
x79	7.16	7.48	a	b	b	
x83	7.16	7.48	a	b	b	
x91	7.16	7.48	a	b	b	
x99	7.16	7.48	a	b	b	
x100	7.16	7.48	a	b	b	
x110	7.16	7.48	a	b	b	
x116	7.16	7.48	a	b	b	
x120	7.16	7.48	a	b	b	
x121	7.16	7.48	a	b	b	
x127	7.16	7.48	a	b	b	
x132	7.16	7.48	a	b	b	
x134	7.16	7.48	a	b	b	
x135	7.16	7.48	a	b	b	
x139	7.16	7.48	a	b	b	
x142	7.16	7.48	a	b	b	
x152	7.16	7.48	a	b	b	
x154	7.16	7.48	a	b	b	
x163	7.16	7.48	a	b	b	
x172	7.16	7.48	a	b	b	
x174	7.16	7.48	a	b	b	
x177	7.16	7.48	a	b	b	
x189	7.16	7.48	a	b	b	
x197	7.16	7.48	a	b	b	
x203	7.16	7.48	a	b	b	
x205	7.16	7.48	a	b	b	
x208	7.16	7.48	a	b	b	
x216	7.16	7.48	a	b	b	
x225	7.16	7.48	a	b	b	
x231	7.16	7.48	a	b	b	
x232	7.16	7.48	a	b	b	
x240	7.16	7.48	a	b	b	
x248	7.16	7.48	a	b	b	
x249	7.16	7.48	a	b	b	
x257	7.16	7.48	a	b	b	
x265	7.16	7.48	a	b	b	
x332	7.16	7.48	a	b	b	
x347	7.16	7.48	a	b	b	
x348	7.16	7.48	a	b	b	
x354	7.16	7.48	a	b	b	
x356	7.16	7.48	a	b	b	
x357	7.16	7.48	a	b	b	
x363	7.16	7.48	a	b	b	
x376	7.16	7.48	a	b	b	
x392	7.16	7.48	a	b	b	
x394	7.16	7.48	a	b	b	
x399	7.16	7.48	a	b	b	
x400	7.16	7.48	a	b	b	
x422	7.16	7.48	a	b	b	
x436	7.16	7.48	a	b	b	
x437	7.16	7.48	a	b	b	
x465	7.16	7.48	a	b	b	
x473	7.16	7.48	a	b	b	
x481	7.16	7.48	a	b	b	
x496	7.16	7.48	a	b	b	

Context: 1
X	y0	y4	y5	y8	y9	
x6	7.16	7.48	a	b	b	
x7	7.16	7.48	a	b	b	
x8	7.16	7.48	a	b	b	
x20	7.16	7.48	a	b	b	
x38	7.16	7.48	a	b	b	
x42	7.16	7.48	a	b	b	
x48	7.16	7.48	a	b	b	
x61	7.16	7.48	a	b	b	
x63	7.16	7.48	a	b	b	
x66	7.16	7.48	a	b	b	
x70	7.16	7.48	a	b	b	
x79	7.16	7.48	a	b	b	
x83	7.16	7.48	a	b	b	
x91	7.16	7.48	a	b	b	
x99	7.16	7.48	a	b	b	
x100	7.16	7.48	a	b	b	
x110	7.16	7.48	a	b	b	
x116	7.16	7.48	a	b	b	
x120	7.16	7.48	a	b	b	
x121	7.16	7.48	a	b	b	
x127	7.16	7.48	a	b	b	
x132	7.16	7.48	a	b	b	
x134	7.16	7.48	a	b	b	
x135	7.16	7.48	a	b	b	
x139	7.16	7.48	a	b	b	
x142	7.16	7.48	a	b	b	
x152	7.16	7.48	a	b	b	
x154	7.16	7.48	a	b	b	
x163	7.16	7.48	a	b	b	
x172	7.16	7.48	a	b	b	
x174	7.16	7.48	a	b	b	
x177	7.16	7.48	a	b	b	
x189	7.16	7.48	a	b	b	
x197	7.16	7.48	a	b	b	
x203	7.16	7.48	a	b	b	
x205	7.16	7.48	a	b	b	
x208	7.16	7.48	a	b	b	
x216	7.16	7.48	a	b	b	
x225	7.16	7.48	a	b	b	
x231	7.16	7.48	a	b	b	
x232	7.16	7.48	a	b	b	
x240	7.16	7.48	a	b	b	
x248	7.16	7.48	a	b	b	
x249	7.16	7.48	a	b	b	
x257	7.16	7.48	a	b	b	
x265	7.16	7.48	a	b	b	
x332	7.16	7.48	a	b	b	
x347	7.16	7.48	a	b	b	
x348	7.16	7.48	a	b	b	
x354	7.16	7.48	a	b	b	
x356	7.16	7.48	a	b	b	
x357	7.16	7.48	a	b	b	
x363	7.16	7.48	a	b	b	
x376	7.16	7.48	a	b	b	
x392	7.16	7.48	a	b	b	
x394	7.16	7.48	a	b	b	
x399	7.16	7.48	a	b	b	
x400	7.16	7.48	a	b	b	
x422	7.16	7.48	a	b	b	
x436	7.16	7.48	a	b	b	
x437	7.16	7.48	a	b	b	
x465	7.16	7.48	a	b	b	
x473	7.16	7.48	a	b	b	
x481	7.16	7.48	a	b	b	
x496	7.16	7.48	a	b	b	

Context: 2
X	y0	y4	y5	y8	y9	
x6	7.16	7.48	a	b	b	
x7	7.16	7.48	a	b	b	
x8	7.16	7.48	a	b	b	
x20	7.16	7.48	a	b	b	
x38	7.16	7.48	a	b	b	
x42	7.16	7.48	a	b	b	
x48	7.16	7.48	a	b	b	
x61	7.16	7.48	a	b	b	
x63	7.16	7.48	a	b	b	
x66	7.16	7.48	a	b	b	
x70	7.16	7.48	a	b	b	
x79	7.16	7.48	a	b	b	
x83	7.16	7.48	a	b	b	
x91	7.16	7.48	a	b	b	
x99	7.16	7.48	a	b	b	
x100	7.16	7.48	a	b	b	
x110	7.16	7.48	a	b	b	
x116	7.16	7.48	a	b	b	
x120	7.16	7.48	a	b	b	
x121	7.16	7.48	a	b	b	
x127	7.16	7.48	a	b	b	
x132	7.16	7.48	a	b	b	
x134	7.16	7.48	a	b	b	
x135	7.16	7.48	a	b	b	
x139	7.16	7.48	a	b	b	
x142	7.16	7.48	a	b	b	
x152	7.16	7.48	a	b	b	
x154	7.16	7.48	a	b	b	
x163	7.16	7.48	a	b	b	
x172	7.16	7.48	a	b	b	
x174	7.16	7.48	a	b	b	
x177	7.16	7.48	a	b	b	
x189	7.16	7.48	a	b	b	
x197	7.16	7.48	a	b	b	
x203	7.16	7.48	a	b	b	
x205	7.16	7.48	a	b	b	
x208	7.16	7.48	a	b	b	
x216	7.16	7.48	a	b	b	
x225	7.16	7.48	a	b	b	
x231	7.16	7.48	a	b	b	
x232	7.16	7.48	a	b	b	
x240	7.16	7.48	a	b	b	
x248	7.16	7.48	a	b	b	
x249	7.16	7.48	a	b	b	
x257	7.16	7.48	a	b	b	
x265	7.16	7.48	a	b	b	
x332	7.16	7.48	a	b	b	
x347	7.16	7.48	a	b	b	
x348	7.16	7.48	a	b	b	
x354	7.16	7.48	a	b	b	
x356	7.16	7.48	a	b	b	
x357	7.16	7.48	a	b	b	
x363	7.16	7.48	a	b	b	
x376	7.16	7.48	a	b	b	
x392	7.16	7.48	a	b	b	
x394	7.16	7.48	a	b	b	
x399	7.16	7.48	a	b	b	
x400	7.16	7.48	a	b	b	
x422	7.16	7.48	a	b	b	
x436	7.16	7.48	a	b	b	
x437	7.16	7.48	a	b	b	
x465	7.16	7.48	a	b	b	
x473	7.16	7.48	a	b	b	
x481	7.16	7.48	a	b	b	
x496	7.16	7.48	a	b	b	

Context: 3
X	y0	y4	y5	y8	y9	
x6	7.16	7.48	a	b	b	
x7	7.16	7.48	a	b	b	
x8	7.16	7.48	a	b	b	
x20	7.16	7.48	a	b	b	
x38	7.16	7.48	a	b	b	
x42	7.16	7.48	a	b	b	
x48	7.16	7.48	a	b	b	
x61	7.16	7.48	a	b	b	
x63	7.16	7.48	a	b	b	
x66	7.16	7.48	a	b	b	
x70	7.16	7.48	a	b	b	
x79	7.16	7.48	a	b	b	
x83	7.16	7.48	a	b	b	
x91	7.16	7.48	a	b	b	
x99	7.16	7.48	a	b	b	
x100	7.16	7.48	a	b	b	
x110	7.16	7.48	a	b	b	
x116	7.16	7.48	a	b	b	
x120	7.16	7.48	a	b	b	
x121	7.16	7.48	a	b	b	
x127	7.16	7.48	a	b	b	
x132	7.16	7.48	a	b	b	
x134	7.16	7.48	a	b	b	
x135	7.16	7.48	a	b	b	
x139	7.16	7.48	a	b	b	
x142	7.16	7.48	a	b	b	
x152	7.16	7.48	a	b	b	
x154	7.16	7.48	a	b	b	
x163	7.16	7.48	a	b	b	
x172	7.16	7.48	a	b	b	
x174	7.16	7.48	a	b	b	
x177	7.16	7.48	a	b	b	
x189	7.16	7.48	a	b	b	
x197	7.16	7.48	a	b	b	
x203	7.16	7.48	a	b	b	
x205	7.16	7.48	a	b	b	
x208	7.16	7.48	a	b	b	
x216	7.16	7.48	a	b	b	
x225	7.16	7.48	a	b	b	
x231	7.16	7.48	a	b	b	
x232	7.16	7.48	a	b	b	
x240	7.16	7.48	a	b	b	
