x455	7.03	7.03	7.03	7.03	
x461	7.03	7.03	7.03	7.03	
x462	7.03	7.03	7.03	7.03	
x465	7.03	7.03	7.03	7.03	
x467	7.03	7.03	7.03	7.03	
x478	7.03	7.03	7.03	7.03	
x486	7.03	7.03	7.03	7.03	
x491	7.03	7.03	7.03	7.03	
x493	7.03	7.03	7.03	7.03	
x500	7.03	7.03	7.03	7.03	
x531	7.03	7.03	7.03	7.03	
x535	7.03	7.03	7.03	7.03	
x541	7.03	7.03	7.03	7.03	
x546	7.03	7.03	7.03	7.03	
x549	7.03	7.03	7.03	7.03	
x550	7.03	7.03	7.03	7.03	
x554	7.03	7.03	7.03	7.03	
x560	7.03	7.03	7.03	7.03	
x561	7.03	7.03	7.03	7.03	
x564	7.03	7.03	7.03	7.03	
x585	7.03	7.03	7.03	7.03	
x587	7.03	7.03	7.03	7.03	
x591	7.03	7.03	7.03	7.03	
x593	7.03	7.03	7.03	7.03	
x604	7.03	7.03	7.03	7.03	
x606	7.03	7.03	7.03	7.03	
x613	7.03	7.03	7.03	7.03	
x614	7.03	7.03	7.03	7.03	
x621	7.03	7.03	7.03	7.03	
x622	7.03	7.03	7.03	7.03	
x626	7.03	7.03	7.03	7.03	
x634	7.03	7.03	7.03	7.03	
x635	7.03	7.03	7.03	7.03	
x643	7.03	7.03	7.03	7.03	
x655	7.03	7.03	7.03	7.03	
x656	7.03	7.03	7.03	7.03	
x665	7.03	7.03	7.03	7.03	
x670	7.03	7.03	7.03	7.03	
x679	7.03	7.03	7.03	7.03	
x680	7.03	7.03	7.03	7.03	
x688	7.03	7.03	7.03	7.03	
x689	7.03	7.03	7.03	7.03	
x696	7.03	7.03	7.03	7.03	
x700	7.03	7.03	7.03	7.03	
x707	7.03	7.03	7.03	7.03	
x726	7.03	7.03	7.03	7.03	
x731	7.03	7.03	7.03	7.03	
x735	7.03	7.03	7.03	7.03	
x748	7.03	7.03	7.03	7.03	
x753	7.03	7.03	7.03	7.03	
x754	7.03	7.03	7.03	7.03	
x760	7.03	7.03	7.03	7.03	
x761	7.03	7.03	7.03	7.03	
x763	7.03	7.03	7.03	7.03	
x767	7.03	7.03	7.03	7.03	
x769	7.03	7.03	7.03	7.03	
x773	7.03	7.03	7.03	7.03	
x776	7.03	7.03	7.03	7.03	
x785	7.03	7.03	7.03	7.03	
x795	7.03	7.03	7.03	7.03	
x806	7.03	7.03	7.03	7.03	
x813	7.03	7.03	7.03	7.03	
x817	7.03	7.03	7.03	7.03	
x819	7.03	7.03	7.03	7.03	
x820	7.03	7.03	7.03	7.03	
x824	7.03	7.03	7.03	7.03	
x827	7.03	7.03	7.03	7.03	
x837	7.03	7.03	7.03	7.03	
x839	7.03	7.03	7.03	7.03	
x840	7.03	7.03	7.03	7.03	
x842	7.03	7.03	7.03	7.03	
x843	7.03	7.03	7.03	7.03	
x845	7.03	7.03	7.03	7.03	
x853	7.03	7.03	7.03	7.03	
x869	7.03	7.03	7.03	7.03	
x875	7.03	7.03	7.03	7.03	
x878	7.03	7.03	7.03	7.03	
x887	7.03	7.03	7.03	7.03	
x898	7.03	7.03	7.03	7.03	
x899	7.03	7.03	7.03	7.03	
x904	7.03	7.03	7.03	7.03	
x910	7.03	7.03	7.03	7.03	
x916	7.03	7.03	7.03	7.03	
x922	7.03	7.03	7.03	7.03	
x923	7.03	7.03	7.03	7.03	
x924	7.03	7.03	7.03	7.03	
x926	7.03	7.03	7.03	7.03	
x931	7.03	7.03	7.03	7.03	
x939	7.03	7.03	7.03	7.03	
x944	7.03	7.03	7.03	7.03	
x951	7.03	7.03	7.03	7.03	
x962	7.03	7.03	7.03	7.03	
x970	7.03	7.03	7.03	7.03	
x971	7.03	7.03	7.03	7.03	
x974	7.03	7.03	7.03	7.03	

Context: 2
X	y0	y5	y7	y9	
x8	1.57	1.57	1.57	1.57	
x12	1.57	1.57	1.57	1.57	
x18	1.57	1.57	1.57	1.57	
x20	1.57	1.57	1.57	1.57	
x32	1.57	1.57	1.57	1.57	
x41	1.57	1.57	1.57	1.57	
x45	1.57	1.57	1.57	1.57	
x54	1.57	1.57	1.57	1.57	
x55	1.57	1.57	1.57	1.57	
x75	1.57	1.57	1.57	1.57	
x82	1.57	1.57	1.57	1.57	
x90	1.57	1.57	1.57	1.57	
x94	1.57	1.57	1.57	1.57	
x95	1.57	1.57	1.57	1.57	
x99	1.57	1.57	1.57	1.57	
x100	1.57	1.57	1.57	1.57	
x103	1.57	1.57	1.57	1.57	
x110	1.57	1.57	1.57	1.57	
x114	1.57	1.57	1.57	1.57	
x117	1.57	1.57	1.57	1.57	
x119	1.57	1.57	1.57	1.57	
x122	1.57	1.57	1.57	1.57	
x128	1.57	1.57	1.57	1.57	
x130	1.57	1.57	1.57	1.57	
x132	1.57	1.57	1.57	1.57	
x136	1.57	1.57	1.57	1.57	
x150	1.57	1.57	1.57	1.57	
x154	1.57	1.57	1.57	1.57	
x165	1.57	1.57	1.57	1.57	
x176	1.57	1.57	1.57	1.57	
x184	1.57	1.57	1.57	1.57	
x190	1.57	1.57	1.57	1.57	
x195	1.57	1.57	1.57	1.57	
x197	1.57	1.57	1.57	1.57	
x200	1.57	1.57	1.57	1.57	
x207	1.57	1.57	1.57	1.57	
x208	1.57	1.57	1.57	1.57	
x212	1.57	1.57	1.57	1.57	
x216	1.57	1.57	1.57	1.57	
x221	1.57	1.57	1.57	1.57	
x231	1.57	1.57	1.57	1.57	
x236	1.57	1.57	1.57	1.57	
x250	1.57	1.57	1.57	1.57	
x260	1.57	1.57	1.57	1.57	
x274	1.57	1.57	1.57	1.57	
x280	1.57	1.57	1.57	1.57	
x292	1.57	1.57	1.57	1.57	
x295	1.57	1.57	1.57	1.57	
x298	1.57	1.57	1.57	1.57	
x302	1.57	1.57	1.57	1.57	
x307	1.57	1.57	1.57	1.57	
x309	1.57	1.57	1.57	1.57	
x318	1.57	1.57	1.57	1.57	
x333	1.57	1.57	1.57	1.57	
x345	1.57	1.57	1.57	1.57	
x346	1.57	1.57	1.57	1.57	
x349	1.57	1.57	1.57	1.57	
x350	1.57	1.57	1.57	1.57	
x354	1.57	1.57	1.57	1.57	
x361	1.57	1.57	1.57	1.57	
x362	1.57	1.57	1.57	1.57	
x371	1.57	1.57	1.57	1.57	
x374	1.57	1.57	1.57	1.57	
x378	1.57	1.57	1.57	1.57	
x384	1.57	1.57	1.57	1.57	
x386	1.57	1.57	1.57	1.57	
x387	1.57	1.57	1.57	1.57	
x390	1.57	1.57	1.57	1.57	
x402	1.57	1.57	1.57	1.57	
x409	1.57	1.57	1.57	1.57	
x417	1.57	1.57	1.57	1.57	
x434	1.57	1.57	1.57	1.57	
x442	1.57	1.57	1.57	1.57	
x448	1.57	1.57	1.57	1.57	
x449	1.57	1.57	1.57	1.57	
x455	1.57	1.57	1.57	1.57	
x461	1.57	1.57	1.57	1.57	
x462	1.57	1.57	1.57	1.57	
x465	1.57	1.57	1.57	1.57	
x467	1.57	1.57	1.57	1.57	
x478	1.57	1.57	1.57	1.57	
x486	1.57	1.57	1.57	1.57	
x491	1.57	1.57	1.57	1.57	
x493	1.57	1.57	1.57	1.57	
x500	1.57	1.57	1.57	1.57	
x531	1.57	1.57	1.57	1.57	
x535	1.57	1.57	1.57	1.57	
x541	1.57	1.57	1.57	1.57	
x546	1.57	1.57	1.57	1.57	
x549	1.57	1.57	1.57	1.57	
x550	1.57	1.57	1.57	1.57	
x554	1.57	1.57	1.57	1.57	
x560	1.57	1.57	1.57	1.57	
x561	1.57	1.57	1.57	1.57	
x564	1.57	1.57	1.57	1.57	
x585	1.57	1.57	1.57	1.57	
x587	1.57	1.57	1.57	1.57	
x591	1.57	1.57	1.57	1.57	
x593	1.57	1.57	1.57	1.57	
x604	1.57	1.57	1.57	1.57	
x606	1.57	1.57	1.57	1.57	
x613	1.57	1.57	1.57	1.57	
x614	1.57	1.57	1.57	1.57	
x621	1.57	1.57	1.57	1.57	
x622	1.57	1.57	1.57	1.57	
x626	1.57	1.57	1.57	1.57	
x634	1.57	1.57	1.57	1.57	
x635	1.57	1.57	1.57	1.57	
x643	1.57	1.57	1.57	1.57	
x655	1.57	1.57	1.57	1.57	
x656	1.57	1.57	1.57	1.57	
x665	1.57	1.57	1.57	1.57	
x670	1.57	1.57	1.57	1.57	
x679	1.57	1.57	1.57	1.57	
x680	1.57	1.57	1.57	1.57	
x688	1.57	1.57	1.57	1.57	
x689	1.57	1.57	1.57	1.57	
x696	1.57	1.57	1.57	1.57	
x700	1.57	1.57	1.57	1.57	
x707	1.57	1.57	1.57	1.57	
x726	1.57	1.57	1.57	1.57	
x731	1.57	1.57	1.57	1.57	
x735	1.57	1.57	1.57	1.57	
x748	1.57	1.57	1.57	1.57	
x753	1.57	1.57	1.57	1.57	
x754	1.57	1.57	1.57	1.57	
x760	1.57	1.57	1.57	1.57	
x761	1.57	1.57	1.57	1.57	
x763	1.57	1.57	1.57	1.57	
x767	1.57	1.57	1.57	1.57	
x769	1.57	1.57	1.57	1.57	
x773	1.57	1.57	1.57	1.57	
x776	1.57	1.57	1.57	1.57	
x785	1.57	1.57	1.57	1.57	
x795	1.57	1.57	1.57	1.57	
x806	1.57	1.57	1.57	1.57	
x813	1.57	1.57	1.57	1.57	
x817	1.57	1.57	1.57	1.57	
x819	1.57	1.57	1.57	1.57	
x820	1.57	1.57	1.57	1.57	
x824	1.57	1.57	1.57	1.57	
x827	1.57	1.57	1.57	1.57	
x837	1.57	1.57	1.57	1.57	
x839	1.57	1.57	1.57	1.57	
x840	1.57	1.57	1.57	1.57	
x842	1.57	1.57	1.57	1.57	
x843	1.57	1.57	1.57	1.57	
x845	1.57	1.57	1.57	1.57	
x853	1.57	1.57	1.57	1.57	
x869	1.57	1.57	1.57	1.57	
x875	1.57	1.57	1.57	1.57	
x878	1.57	1.57	1.57	1.57	
x887	1.57	1.57	1.57	1.57	
x898	1.57	1.57	1.57	1.57	
x899	1.57	1.57	1.57	1.57	
x904	1.57	1.57	1.57	1.57	
x910	1.57	1.57	1.57	1.57	
x916	1.57	1.57	1.57	1.57	
x922	1.57	1.57	1.57	1.57	
x923	1.57	1.57	1.57	1.57	
x924	1.57	1.57	1.57	1.57	
x926	1.57	1.57	1.57	1.57	
x931	1.57	1.57	1.57	1.57	
x939	1.57	1.57	1.57	1.57	
x944	1.57	1.57	1.57	1.57	
x951	1.57	1.57	1.57	1.57	
x962	1.57	1.57	1.57	1.57	
x970	1.57	1.57	1.57	1.57	
x971	1.57	1.57	1.57	1.57	
x974	1.57	1.57	1.57	1.57	


*** Symbolic triclusters *** 

Tricluster #0
(154, 5, 2), X=[6,20,22,66,70,74,76,79,82,95,102,115,129,130,134,145,154,155,171,172,179,192,194,195,201,203,218,229,240,243,247,255,263,264,278,284,295,299,301,308,309,317,322,335,343,344,347,350,353,358,362,366,368,381,384,388,393,396,397,398,401,405,417,424,425,430,440,441,442,448,454,456,457,465,471,487,489,491,499,503,506,507,523,525,527,534,542,543,554,555,566,577,578,590,592,598,607,608,632,638,640,652,653,659,660,669,671,678,683,686,689,694,700,723,735,739,742,745,749,753,757,764,780,795,799,804,806,814,819,822,837,846,861,882,892,895,899,900,912,917,919,935,940,958,959,960,961,964,972,974,976,981,984,996], Y=[12,14,15,16,19], Z=[0,1], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 0
X	y12	y14	y15	y16	y19	
x6	b	b	b	c	b	
x20	b	b	b	c	b	
x22	b	b	b	c	b	
x66	b	b	b	c	b	
x70	b	b	b	c	b	
x74	b	b	b	c	b	
x76	b	b	b	c	b	
x79	b	b	b	c	b	
x82	b	b	b	c	b	
x95	b	b	b	c	b	
x102	b	b	b	c	b	
x115	b	b	b	c	b	
x129	b	b	b	c	b	
x130	b	b	b	c	b	
x134	b	b	b	c	b	
x145	b	b	b	c	b	
x154	b	b	b	c	b	
x155	b	b	b	c	b	
x171	b	b	b	c	b	
x172	b	b	b	c	b	
x179	b	b	b	c	b	
x192	b	b	b	c	b	
x194	b	b	b	c	b	
x195	b	b	b	c	b	
x201	b	b	b	c	b	
x203	b	b	b	c	b	
x218	b	b	b	c	b	
x229	b	b	b	c	b	
x240	b	b	b	c	b	
x243	b	b	b	c	b	
x247	b	b	b	c	b	
x255	b	b	b	c	b	
x263	b	b	b	c	b	
x264	b	b	b	c	b	
x278	b	b	b	c	b	
x284	b	b	b	c	b	
x295	b	b	b	c	b	
x299	b	b	b	c	b	
x301	b	b	b	c	b	
x308	b	b	b	c	b	
x309	b	b	b	c	b	
x317	b	b	b	c	b	
x322	b	b	b	c	b	
x335	b	b	b	c	b	
x343	b	b	b	c	b	
x344	b	b	b	c	b	
x347	b	b	b	c	b	
x350	b	b	b	c	b	
x353	b	b	b	c	b	
x358	b	b	b	c	b	
x362	b	b	b	c	b	
x366	b	b	b	c	b	
x368	b	b	b	c	b	
x381	b	b	b	c	b	
x384	b	b	b	c	b	
x388	b	b	b	c	b	
x393	b	b	b	c	b	
x396	b	b	b	c	b	
x397	b	b	b	c	b	
x398	b	b	b	c	b	
x401	b	b	b	c	b	
x405	b	b	b	c	b	
x417	b	b	b	c	b	
x424	b	b	b	c	b	
x425	b	b	b	c	b	
x430	b	b	b	c	b	
x440	b	b	b	c	b	
x441	b	b	b	c	b	
x442	b	b	b	c	b	
x448	b	b	b	c	b	
x454	b	b	b	c	b	
x456	b	b	b	c	b	
x457	b	b	b	c	b	
x465	b	b	b	c	b	
x471	b	b	b	c	b	
x487	b	b	b	c	b	
x489	b	b	b	c	b	
x491	b	b	b	c	b	
x499	b	b	b	c	b	
x503	b	b	b	c	b	
x506	b	b	b	c	b	
x507	b	b	b	c	b	
x523	b	b	b	c	b	
x525	b	b	b	c	b	
x527	b	b	b	c	b	
x534	b	b	b	c	b	
x542	b	b	b	c	b	
x543	b	b	b	c	b	
x554	b	b	b	c	b	
x555	b	b	b	c	b	
x566	b	b	b	c	b	
x577	b	b	b	c	b	
x578	b	b	b	c	b	
x590	b	b	b	c	b	
x592	b	b	b	c	b	
x598	b	b	b	c	b	
x607	b	b	b	c	b	
x608	b	b	b	c	b	
x632	b	b	b	c	b	
x638	b	b	b	c	b	
x640	b	b	b	c	b	
x652	b	b	b	c	b	
x653	b	b	b	c	b	
x659	b	b	b	c	b	
x660	b	b	b	c	b	
x669	b	b	b	c	b	
x671	b	b	b	c	b	
x678	b	b	b	c	b	
x683	b	b	b	c	b	
x686	b	b	b	c	b	
x689	b	b	b	c	b	
x694	b	b	b	c	b	
x700	b	b	b	c	b	
x723	b	b	b	c	b	
x735	b	b	b	c	b	
x739	b	b	b	c	b	
x742	b	b	b	c	b	
x745	b	b	b	c	b	
x749	b	b	b	c	b	
x753	b	b	b	c	b	
x757	b	b	b	c	b	
x764	b	b	b	c	b	
x780	b	b	b	c	b	
x795	b	b	b	c	b	
x799	b	b	b	c	b	
x804	b	b	b	c	b	
x806	b	b	b	c	b	
x814	b	b	b	c	b	
x819	b	b	b	c	b	
x822	b	b	b	c	b	
x837	b	b	b	c	b	
x846	b	b	b	c	b	
x861	b	b	b	c	b	
x882	b	b	b	c	b	
x892	b	b	b	c	b	
x895	b	b	b	c	b	
x899	b	b	b	c	b	
x900	b	b	b	c	b	
x912	b	b	b	c	b	
x917	b	b	b	c	b	
x919	b	b	b	c	b	
x935	b	b	b	c	b	
x940	b	b	b	c	b	
x958	b	b	b	c	b	
x959	b	b	b	c	b	
x960	b	b	b	c	b	
x961	b	b	b	c	b	
x964	b	b	b	c	b	
x972	b	b	b	c	b	
x974	b	b	b	c	b	
x976	b	b	b	c	b	
x981	b	b	b	c	b	
x984	b	b	b	c	b	
x996	b	b	b	c	b	

Context: 1
X	y12	y14	y15	y16	y19	
x6	b	b	b	c	b	
x20	b	b	b	c	b	
x22	b	b	b	c	b	
x66	b	b	b	c	b	
x70	b	b	b	c	b	
x74	b	b	b	c	b	
x76	b	b	b	c	b	
x79	b	b	b	c	b	
x82	b	b	b	c	b	
x95	b	b	b	c	b	
x102	b	b	b	c	b	
x115	b	b	b	c	b	
x129	b	b	b	c	b	
x130	b	b	b	c	b	
x134	b	b	b	c	b	
x145	b	b	b	c	b	
x154	b	b	b	c	b	
x155	b	b	b	c	b	
x171	b	b	b	c	b	
x172	b	b	b	c	b	
x179	b	b	b	c	b	
x192	b	b	b	c	b	
x194	b	b	b	c	b	
x195	b	b	b	c	b	
x201	b	b	b	c	b	
x203	b	b	b	c	b	
x218	b	b	b	c	b	
x229	b	b	b	c	b	
x240	b	b	b	c	b	
x243	b	b	b	c	b	
x247	b	b	b	c	b	
x255	b	b	b	c	b	
x263	b	b	b	c	b	
x264	b	b	b	c	b	
x278	b	b	b	c	b	
x284	b	b	b	c	b	
x295	b	b	b	c	b	
x299	b	b	b	c	b	
x301	b	b	b	c	b	
x308	b	b	b	c	b	
x309	b	b	b	c	b	
x317	b	b	b	c	b	
x322	b	b	b	c	b	
x335	b	b	b	c	b	
x343	b	b	b	c	b	
x344	b	b	b	c	b	
x347	b	b	b	c	b	
x350	b	b	b	c	b	
x353	b	b	b	c	b	
x358	b	b	b	c	b	
x362	b	b	b	c	b	
x366	b	b	b	c	b	
x368	b	b	b	c	b	
x381	b	b	b	c	b	
x384	b	b	b	c	b	
x388	b	b	b	c	b	
x393	b	b	b	c	b	
x396	b	b	b	c	b	
x397	b	b	b	c	b	
x398	b	b	b	c	b	
x401	b	b	b	c	b	
x405	b	b	b	c	b	
x417	b	b	b	c	b	
x424	b	b	b	c	b	
x425	b	b	b	c	b	
x430	b	b	b	c	b	
x440	b	b	b	c	b	
x441	b	b	b	c	b	
x442	b	b	b	c	b	
x448	b	b	b	c	b	
x454	b	b	b	c	b	
x456	b	b	b	c	b	
x457	b	b	b	c	b	
x465	b	b	b	c	b	
x471	b	b	b	c	b	
x487	b	b	b	c	b	
x489	b	b	b	c	b	
x491	b	b	b	c	b	
x499	b	b	b	c	b	
x503	b	b	b	c	b	
x506	b	b	b	c	b	
x507	b	b	b	c	b	
x523	b	b	b	c	b	
x525	b	b	b	c	b	
x527	b	b	b	c	b	
x534	b	b	b	c	b	
x542	b	b	b	c	b	
x543	b	b	b	c	b	
x554	b	b	b	c	b	
x555	b	b	b	c	b	
x566	b	b	b	c	b	
x577	b	b	b	c	b	
x578	b	b	b	c	b	
x590	b	b	b	c	b	
x592	b	b	b	c	b	
x598	b	b	b	c	b	
x607	b	b	b	c	b	
x608	b	b	b	c	b	
x632	b	b	b	c	b	
x638	b	b	b	c	b	
x640	b	b	b	c	b	
x652	b	b	b	c	b	
x653	b	b	b	c	b	
x659	b	b	b	c	b	
x660	b	b	b	c	b	
x669	b	b	b	c	b	
x671	b	b	b	c	b	
x678	b	b	b	c	b	
x683	b	b	b	c	b	
x686	b	b	b	c	b	
x689	b	b	b	c	b	
x694	b	b	b	c	b	
x700	b	b	b	c	b	
x723	b	b	b	c	b	
x735	b	b	b	c	b	
x739	b	b	b	c	b	
x742	b	b	b	c	b	
x745	b	b	b	c	b	
x749	b	b	b	c	b	
x753	b	b	b	c	b	
x757	b	b	b	c	b	
x764	b	b	b	c	b	
x780	b	b	b	c	b	
x795	b	b	b	c	b	
x799	b	b	b	c	b	
x804	b	b	b	c	b	
x806	b	b	b	c	b	
x814	b	b	b	c	b	
x819	b	b	b	c	b	
x822	b	b	b	c	b	
x837	b	b	b	c	b	
x846	b	b	b	c	b	
x861	b	b	b	c	b	
x882	b	b	b	c	b	
x892	b	b	b	c	b	
x895	b	b	b	c	b	
x899	b	b	b	c	b	
x900	b	b	b	c	b	
x912	b	b	b	c	b	
x917	b	b	b	c	b	
x919	b	b	b	c	b	
x935	b	b	b	c	b	
x940	b	b	b	c	b	
x958	b	b	b	c	b	
x959	b	b	b	c	b	
x960	b	b	b	c	b	
x961	b	b	b	c	b	
x964	b	b	b	c	b	
x972	b	b	b	c	b	
x974	b	b	b	c	b	
x976	b	b	b	c	b	
x981	b	b	b	c	b	
x984	b	b	b	c	b	
x996	b	b	b	c	b	

Tricluster #1
(158, 3, 2), X=[8,9,14,18,21,27,30,37,40,41,49,55,59,62,84,87,88,93,103,112,122,125,126,127,138,146,150,151,162,163,175,181,187,188,193,198,202,205,206,212,220,230,232,233,236,239,241,245,250,251,256,265,266,267,268,274,291,293,297,298,305,306,307,316,341,348,352,354,355,357,364,375,379,380,390,392,395,402,404,407,411,415,419,431,432,438,452,453,464,470,475,492,513,514,522,532,533,559,579,587,599,604,618,621,629,631,633,650,655,663,665,677,681,682,687,697,698,704,705,707,716,720,721,726,727,729,744,758,765,775,801,803,817,820,827,828,848,858,860,866,880,883,885,888,911,918,920,938,944,956,969,970,971,973,977,982,986,989], Y=[10,11,15], Z=[1,2], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 1
X	y10	y11	y15	
x8	b	a	c	
x9	b	a	c	
x14	b	a	c	
x18	b	a	c	
x21	b	a	c	
x27	b	a	c	
x30	b	a	c	
x37	b	a	c	
x40	b	a	c	
x41	b	a	c	
x49	b	a	c	
x55	b	a	c	
x59	b	a	c	
x62	b	a	c	
x84	b	a	c	
x87	b	a	c	
x88	b	a	c	
x93	b	a	c	
x103	b	a	c	
x112	b	a	c	
x122	b	a	c	
x125	b	a	c	
x126	b	a	c	
x127	b	a	c	
x138	b	a	c	
x146	b	a	c	
x150	b	a	c	
x151	b	a	c	
x162	b	a	c	
x163	b	a	c	
x175	b	a	c	
x181	b	a	c	
x187	b	a	c	
x188	b	a	c	
x193	b	a	c	
x198	b	a	c	
x202	b	a	c	
x205	b	a	c	
x206	b	a	c	
x212	b	a	c	
x220	b	a	c	
x230	b	a	c	
x232	b	a	c	
x233	b	a	c	
x236	b	a	c	
x239	b	a	c	
x241	b	a	c	
x245	b	a	c	
x250	b	a	c	
x251	b	a	c	
x256	b	a	c	
x265	b	a	c	
x266	b	a	c	
x267	b	a	c	
x268	b	a	c	
x274	b	a	c	
x291	b	a	c	
x293	b	a	c	
x297	b	a	c	
x298	b	a	c	
x305	b	a	c	
x306	b	a	c	
x307	b	a	c	
x316	b	a	c	
x341	b	a	c	
x348	b	a	c	
x352	b	a	c	
x354	b	a	c	
x355	b	a	c	
x357	b	a	c	
x364	b	a	c	
x375	b	a	c	
x379	b	a	c	
x380	b	a	c	
x390	b	a	c	
x392	b	a	c	
x395	b	a	c	
x402	b	a	c	
x404	b	a	c	
x407	b	a	c	
x411	b	a	c	
x415	b	a	c	
x419	b	a	c	
x431	b	a	c	
x432	b	a	c	
x438	b	a	c	
x452	b	a	c	
x453	b	a	c	
x464	b	a	c	
x470	b	a	c	
x475	b	a	c	
x492	b	a	c	
x513	b	a	c	
x514	b	a	c	
